"","School","Address","City","Zip","AddressFull","Public","County","Dist","Name","Color1","Color2","Color3","Enrollment","Conf","Mascot","Enr_Class","lon","lat"
"120","ANNA","1 MCRILL WAY","ANNA","45302","1 MCRILL WAY, ANNA, OH 45302","PUBLIC","Shelby","Southwest","ANNA","GREEN","WHITE","Black",165,"Shelby County Athletic League","ROCKETS","(AA)",-84.1753203,40.4014401
"1202","OLENTANGY","675 LEWIS CENTER ROAD","LEWIS CENTER","43035-9049","675 LEWIS CENTER ROAD, LEWIS CENTER, OH 43035-9049","PUBLIC","Delaware","Central","LEWIS CENTER OLENTANGY","BLUE","GOLD",NA,706,"Ohio Capital Conference","BRAVES","(AAA)",-83.0187257,40.200537
"1203","OLENTANGY LIBERTY","3584 HOME RD","POWELL","43065-9757","3584 HOME RD, POWELL, OH 43065-9757","PUBLIC","Delaware","Central","POWELL OLENTANGY LIBERTY","BLUE","SILVER",NA,863,"","PATRIOTS","(AAA)",-83.0988772,40.1978306
"1204","OLMSTED FALLS","26939 BAGLEY ROAD","OLMSTED FALLS","44138-1161","26939 BAGLEY ROAD, OLMSTED FALLS, OH 44138-1161","PUBLIC","Cuyahoga","Northeast","OLMSTED FALLS","BLUE","GOLD",NA,518,"","BULLDOGS","(AAA)",-81.9272112,41.3703033
"1206","ONTARIO","467 SHELBY ONTARIO ROAD","ONTARIO","44906","467 SHELBY ONTARIO ROAD, ONTARIO, OH 44906","PUBLIC","Richland","Northwest","ONTARIO","BLUE","GOLD",NA,248,"","WARRIORS","(AAA)",-82.6478378,40.7648357
"1207","OPEN DOOR CHRISTIAN","8287 W RIDGE RD","ELYRIA","44035-4466","8287 W RIDGE RD, ELYRIA, OH 44035-4466","PRIVATE","Lorain","Northeast","ELYRIA OPEN DOOR CHRISTIAN","ROYAL BLUE","WHITE",NA,50,"INDEPENDENT","PATRIOTS","(A)",-82.1603241,41.3732689
"1208","ORANGE","32000 CHAGRIN BLVD","PEPPER PIKE","44124-5922","32000 CHAGRIN BLVD, PEPPER PIKE, OH 44124-5922","PUBLIC","Cuyahoga","Northeast","PEPPER PIKE ORANGE","ORANGE","BLACK","GRAY",261,"Chagrin Valley Conference","LIONS","(AA)",-81.450813,41.456301
"1210","ORRVILLE","841 N ELLA ST","ORRVILLE","44667-1154","841 N ELLA ST, ORRVILLE, OH 44667-1154","PUBLIC","Wayne","Northeast","ORRVILLE","RED","WHITE",NA,199,"","RED RIDERS","(AA)",-81.7695923,40.8493905
"1211","OLENTANGY ORANGE","2840 E Orange Rd","Lewis Center","43035-9300","2840 E Orange Rd, Lewis Center, OH 43035-9300","PUBLIC","Delaware","Central","LEWIS CENTER OLENTANGY ORANGE","Blue","Orange",NA,713,"","Pioneers","(AAA)",-82.979041,40.171859
"1212","OTSEGO","18505 TONTOGANY CREEK RD","Tontogany","43565","18505 TONTOGANY CREEK RD, Tontogany, OH 43565","PUBLIC","Wood","Northwest","TONTOGANY OTSEGO","ORANGE","BLACK","WHITE",206,"","KNIGHTS","(AAA)",-83.7434359,41.4230117
"1214","OTTAWA-GLANDORF","630 GLENDALE AVE","OTTAWA","45875-1162","630 GLENDALE AVE, OTTAWA, OH 45875-1162","PUBLIC","Putnam","Northwest","OTTAWA-GLANDORF","NAVY","GOLD","WHITE",181,"Western Buckeye League","TITANS","(AA)",-84.0459468,41.0291823
"1216","OTTAWA HILLS","2532 EVERGREEN ROAD","TOLEDO","43606-2301","2532 EVERGREEN ROAD, TOLEDO, OH 43606-2301","PUBLIC","Lucas","Northwest","TOL. OTTAWA HILLS","KELLY GREEN","WHITE",NA,123,"Toledo Area Athletic Conference","GREEN BEARS","(AA)",-83.6326142,41.6695875
"122","ANSONIA","600 E CANAL ST","ANSONIA","45303","600 E CANAL ST, ANSONIA, OH 45303","PUBLIC","Darke","Southwest","ANSONIA","ORANGE","BLACK",NA,90,"Cross County Conference","TIGERS","(A)",-84.6275035,40.2144031
"1224","PADUA FRANCISCAN","6740 STATE ROAD","PARMA","44134-4518","6740 STATE ROAD, PARMA, OH 44134-4518","PRIVATE","Cuyahoga","Northeast","PARMA PADUA FRANCISCAN","BROWN","WHITE","ORANGE",277,"North Coast League","BRUINS","(AA)",-81.7163507,41.3812073
"1226","PAINT VALLEY","7454 US Highway 50 W","BAINBRIDGE","45612-9707","7454 US Highway 50 W, BAINBRIDGE, OH 45612-9707","PUBLIC","Ross","Southeast","BAINBRIDGE PAINT VALLEY","BLACK","GOLD",NA,131,"","BEARCATS","(AA)",-83.2157762,39.2440345
"1228","PANDORA-GILBOA","410 ROCKET RIDGE","PANDORA","45877-9607","410 ROCKET RIDGE, PANDORA, OH 45877-9607","PUBLIC","Putnam","Northwest","PANDORA-GILBOA","SCARLET","GRAY",NA,64,"Central Buckeye Conference","ROCKETS","(A)",-83.971306,40.95334
"1230","PARKWAY","400 BUCKEYE ST","ROCKFORD","45882-9309","400 BUCKEYE ST, ROCKFORD, OH 45882-9309","PUBLIC","Mercer","Northwest","ROCKFORD PARKWAY","BLACK","OLD GOLD",NA,118,"Midwest Athletic Conference","PANTHERS","(AA)",-84.6507527,40.6826735
"1232","PARMA","6285 W 54TH ST","PARMA","44129-5259","6285 W 54TH ST, PARMA, OH 44129-5259","PUBLIC","Cuyahoga","Northeast","PARMA","RED","GRAY",NA,536,"Great Lakes Conference","REDMEN","(AAA)",-81.7206361,41.3933987
"1234","PATRICK HENRY","6-900 STATE ROUTE 18","HAMLER","43524-9801","6-900 STATE ROUTE 18, HAMLER, OH 43524-9801","PUBLIC","Henry","Northwest","HAMLER PATRICK HENRY","RED","BLUE","WHITE",111,"Northwest Ohio Athletic League","PATRIOTS","(AA)",-84.0359119,41.2397785
"1235","PONITZ CAREER TECHNOLOGY CENTER","741 Washington Street","DAYTON","45402","741 Washington Street, DAYTON, OH 45402","PUBLIC","Montgomery","Southwest","DAY. DAVID H PONITZ","Gold","Royal Blue",NA,277,"Dayton City League","Golden Panthers","(AA)",-84.2024921,39.7502941
"1236","PAULDING","405 N WATER ST","PAULDING","45879-1251","405 N WATER ST, PAULDING, OH 45879-1251","PUBLIC","Paulding","Northwest","PAULDING","MAROON","WHITE",NA,162,"","PANTHERS","(AA)",-84.5774297,41.1407683
"124","ANTHONY WAYNE","5967 FINZEL RD","WHITEHOUSE","43571-9661","5967 FINZEL RD, WHITEHOUSE, OH 43571-9661","PUBLIC","Lucas","Northwest","WHITEHOUSE ANTHONY WAYNE","ROYAL BLUE","WHITE",NA,532,"","GENERALS","(AAA)",-83.7791617,41.533359
"1240","PERKINS","3714 CAMPBELL ST","SANDUSKY","44870-5313","3714 CAMPBELL ST, SANDUSKY, OH 44870-5313","PUBLIC","Erie","Northwest","SANDUSKY PERKINS","BLACK","WHITE",NA,267,"Sandusky Bay Conference","PIRATES","(AAA)",-82.7021844,41.4129153
"1242","PERRY","2770 EAST BREESE ROAD","LIMA","45806-9802","2770 EAST BREESE ROAD, LIMA, OH 45806-9802","PUBLIC","Allen","Northwest","LIMA PERRY","RED","WHITE",NA,96,"Northwest Central Conference","COMMODORES","(A)",-84.0552306,40.6872302
"1244","PERRY","3737 13TH STREET SW","MASSILLON","44646-3407","3737 13TH STREET SW, MASSILLON, OH 44646-3407","PUBLIC","Stark","Northeast","MASSILLON PERRY","BLACK","GOLD","WHITE",611,"Federal League","PANTHERS","(AAA)",-81.459502,40.788635
"1246","PERRY","ONE SUCCESS BLVD","PERRY","44081-9611","ONE SUCCESS BLVD, PERRY, OH 44081-9611","PUBLIC","Lake","Northeast","PERRY","RED","WHITE",NA,235,"Chagrin Valley Conference","PIRATES","(AA)",-81.140551,41.7741742
"1248","PERRYSBURG","13385 ROACHTON RD","PERRYSBURG","43551-1363","13385 ROACHTON RD, PERRYSBURG, OH 43551-1363","PUBLIC","Wood","Northwest","PERRYSBURG","GOLD","BLACK",NA,610,"Northern Lakes League","YELLOW JACKETS","(AAA)",-83.6529634,41.5189944
"1252","PHILO","4000 MILLERS LN","DUNCAN FALLS","43734-9750","4000 MILLERS LN, DUNCAN FALLS, OH 43734-9750","PUBLIC","Muskingum","East","DUNCAN FALLS PHILO","BLUE","GOLD",NA,242,"Muskingum Valley League","ELECTRICS","(AAA)",-81.9100819,39.8837781
"1254","PICKERINGTON HIGH SCHOOL CENTRAL","300 OPPORTUNITY WAY","PICKERINGTON","43147-1296","300 OPPORTUNITY WAY, PICKERINGTON, OH 43147-1296","PUBLIC","Fairfield","Central","PICKERINGTON CENTRAL","PURPLE","WHITE",NA,688,"","TIGERS","(AAA)",-82.7556,39.8765722
"1255","PICKERINGTON HIGH SCHOOL NORTH","7800 REFUGEE RD","PICKERINGTON","43147-7987","7800 REFUGEE RD, PICKERINGTON, OH 43147-7987","PUBLIC","Fairfield","Central","PICKERINGTON NORTH","BLACK","PURPLE","SILVER",622,"Ohio Capital Conference","PANTHERS","(AAA)",-82.7341252,39.9092733
"1256","PIKETON","1414 PIKETON ROAD","PIKETON","45661","1414 PIKETON ROAD, PIKETON, OH 45661","PUBLIC","Pike","Southeast","PIKETON","SCARLET","GRAY",NA,174,"Scioto Valley Conference","REDSTREAKS","(AA)",-83.0234383,39.0662768
"1258","PIQUA","1 INDIAN TRAIL","PIQUA","45356-9257","1 INDIAN TRAIL, PIQUA, OH 45356-9257","PUBLIC","Miami","Southwest","PIQUA","RED","BLUE",NA,381,"Greater Western Ohio Conference","INDIANS","(AAA)",-84.2075591,40.1647504
"126","ANTWERP","303 S HARRMANN RD","ANTWERP","45813-9574","303 S HARRMANN RD, ANTWERP, OH 45813-9574","PUBLIC","Paulding","Northwest","ANTWERP","BLUE","WHITE",NA,78,"Green Meadows Conference","ARCHERS","(A)",-84.729434,41.1782454
"1260","PLEASANT","1101 OWENS RD W","MARION","43302-8421","1101 OWENS RD W, MARION, OH 43302-8421","PUBLIC","Marion","Central","MARION PLEASANT","RED","BLACK",NA,169,"Mid-Ohio Athletic Conference","SPARTANS","(A)",-83.136392,40.519976
"1262","PLYMOUTH","400 TRUX STREET","PLYMOUTH","44865-1133","400 TRUX STREET, PLYMOUTH, OH 44865-1133","PUBLIC","Richland","Northwest","PLYMOUTH","RED","WHITE",NA,90,"Firelands Conference","BIG RED","(A)",-82.652764,40.987187
"1264","POLAND SEMINARY","3199 DOBBINS RD","POLAND","44514-2327","3199 DOBBINS RD, POLAND, OH 44514-2327","PUBLIC","Mahoning","Northeast","POLAND SEMINARY","BLUE","WHITE",NA,259,"Northeast 8 Athletic Conference","BULLDOGS","(AA)",-80.5913548,41.0039308
"1266","PORT CLINTON","821 SOUTH JEFFERSON ST","PORT CLINTON","43452-2415","821 SOUTH JEFFERSON ST, PORT CLINTON, OH 43452-2415","PUBLIC","Ottawa","Northwest","PORT CLINTON","RED","WHITE",NA,241,"","REDSKINS","(AAA)",-82.936394,41.503863
"1268","PORTSMOUTH","1225 GALLIA ST","PORTSMOUTH","45662-4159","1225 GALLIA ST, PORTSMOUTH, OH 45662-4159","PUBLIC","Scioto","Southeast","PORTSMOUTH","RED","BLUE",NA,171,"","TROJANS","(AA)",-82.9882904,38.7363164
"1270","PORTSMOUTH WEST","15332 US Highway 52","WEST PORTSMOUTH","45663-9093","15332 US Highway 52, WEST PORTSMOUTH, OH 45663-9093","PUBLIC","Scioto","Southeast","PORTSMOUTH WEST","ORANGE","BLACK",NA,189,"Southern Ohio Conference","SENATORS","(AA)",-83.0521027,38.7146889
"1272","PREBLE SHAWNEE","5495 SOMERS GRATIS ROAD","CAMDEN","45311-9717","5495 SOMERS GRATIS ROAD, CAMDEN, OH 45311-9717","PUBLIC","Preble","Southwest","CAMDEN PREBLE SHAWNEE","RED","BLACK",NA,170,"Southwestern Buckeye League","ARROWS","(AA)",-84.554336,39.6297349
"1274","PRINCETON","100 Viking Way","CINCINNATI","45246-3802","100 Viking Way, CINCINNATI, OH 45246-3802","PUBLIC","Hamilton","Southwest","CIN. PRINCETON","SCARLET","GRAY",NA,678,"Greater Miami Conference","VIKINGS","(AAA)",-84.4458885,39.2733795
"1276","PURCELL MARIAN","2935 HACKBERRY STREET","CINCINNATI","45206-1407","2935 HACKBERRY STREET, CINCINNATI, OH 45206-1407","PRIVATE","Hamilton","Southwest","CIN. PURCELL MARIAN","CRIMSON","BLUE","GOLD",137,"Greater Catholic League Co-Ed Division","CAVALIERS","(A)",-84.4754236,39.1306804
"128","ARCADIA","19033 ST RT 12","ARCADIA","44804-9714","19033 ST RT 12, ARCADIA, OH 44804-9714","PUBLIC","Hancock","Northwest","ARCADIA","RED","WHITE",NA,65,"Blanchard Valley Conference","REDSKINS","(A)",-83.5150996,41.1064685
"1280","PYMATUNING VALLEY","5571 US RT 6 WEST","ANDOVER","44003-1180","5571 US RT 6 WEST, ANDOVER, OH 44003-1180","PUBLIC","Ashtabula","Northeast","ANDOVER PYMATUNING VALLEY","MAROON","VEGAS GOLD",NA,141,"","LAKERS","(A)",-80.5444528,41.6145217
"1281","RAVENNA","6589 N Chesnut St","Ravenna","44266","6589 N Chesnut St, Ravenna, OH 44266","PUBLIC","Portage","Northeast","RAVENNA","ROYAL BLUE","RED","WHITE",276,"Portage Trail Conference","RAVENS","(AA)",-81.2437094,41.1696821
"1282","Rayen","250 BENITA AVE","YOUNGSTOWN","44504-1850","250 BENITA AVE, YOUNGSTOWN, OH 44504-1850","PUBLIC","Mahoning","Northeast","","ORANGE","BLACK",NA,NA,"","TIGERS",NA,-80.6489443,41.1262817
"1284","READING","1301 Bonnell Avenue","READING","45215-3930","1301 Bonnell Avenue, READING, OH 45215-3930","PUBLIC","Hamilton","Southwest","READING","BLUE","WHITE","Black",166,"Cincinnati Hills League","BLUE DEVILS","(AA)",-84.442157,39.2274324
"1288","REVERE","3420 EVERETT RD","RICHFIELD","44286-9711","3420 EVERETT RD, RICHFIELD, OH 44286-9711","PUBLIC","Summit","Northeast","RICHFIELD REVERE","RED","BLUE","WHITE",329,"","MINUTEMEN","(AA)",-81.616902,41.2016403
"1290","REYNOLDSBURG","6699 E LIVINGSTON AVE","REYNOLDSBURG","43068-3605","6699 E LIVINGSTON AVE, REYNOLDSBURG, OH 43068-3605","PUBLIC","Franklin","Central","REYNOLDSBURG","PURPLE","GOLD",NA,879,"Ohio Capital Conference","RAIDERS","(AAA)",-82.816534,39.942786
"1292","RHODES","5100 BIDDULPH AVE","CLEVELAND","44144-3802","5100 BIDDULPH AVE, CLEVELAND, OH 44144-3802","PUBLIC","Cuyahoga","Northeast","CLE. RHODES","BLUE","WHITE",NA,840,"Cleveland Senate Athletic League","RAMS","(AAA)",-81.7218715,41.4306134
"1294","RICHMOND HEIGHTS","447 RICHMOND ROAD","RICHMOND HTS","44143-1429","447 RICHMOND ROAD, RICHMOND HTS, OH 44143-1429","PUBLIC","Cuyahoga","Northeast","RICHMOND HTS.","ROYAL BLUE","WHITE",NA,96,"Columbus City League","SPARTANS","(A)",-81.4948205,41.5552085
"1296","RIDGEDALE","3165 HILLMAN FORD RD","MORRAL","43337-9302","3165 HILLMAN FORD RD, MORRAL, OH 43337-9302","PUBLIC","Marion","Central","MORRAL RIDGEDALE","RED","BLUE",NA,83,"","ROCKETS","(A)",-83.17564,40.647588
"1298","RIDGEMONT","560 W Taylor St","Mt. Victory","43340","560 W Taylor St, Mt. Victory, OH 43340","PUBLIC","Hardin","Northwest","MT. VICTORY RIDGEMONT","GREEN","GOLD",NA,49,"Northwest Central Conference","GOLDEN GOPHERS","(A)",-83.5281755,40.5334184
"130","ARCANUM","2011 Trojan Ave.","ARCANUM","45304-1338","2011 Trojan Ave., ARCANUM, OH 45304-1338","PUBLIC","Darke","Southwest","ARCANUM","ORANGE","BLACK",NA,144,"Cross County Conference","TROJANS","(A)",-84.5488362,39.9953422
"1300","RIDGEWOOD","602 JOHNSON ST","WEST LAFAYETTE","43845-1350","602 JOHNSON ST, WEST LAFAYETTE, OH 43845-1350","PUBLIC","Coshocton","East","WEST LAFAYETTE RIDGEWOOD","ORANGE","BLACK",NA,163,"Inter-Valley Conference","GENERALS","(AA)",-81.7584238,40.2711
"1304","RITTMAN","50 SAURER STREET","RITTMAN","44270-1259","50 SAURER STREET, RITTMAN, OH 44270-1259","PUBLIC","Wayne","Northeast","RITTMAN","RED","BLACK","WHITE",109,"Wayne County Athletic League","INDIANS","(A)",-81.796216,40.9754727
"1306","RIVER","52560 RIVER HIGH ROAD","HANNIBAL","43931-0037","52560 RIVER HIGH ROAD, HANNIBAL, OH 43931-0037","PUBLIC","Monroe","East","HANNIBAL RIVER","RED","GRAY",NA,85,"Ohio Valley Athletic Conference","PILOTS","(A)",-80.8676477,39.6725229
"1308","RIVERDALE","20613 STATE ROUTE 37","MT. BLANCHARD","45867-9783","20613 STATE ROUTE 37, MT. BLANCHARD, OH 45867-9783","PUBLIC","Hardin","Northwest","MT. BLANCHARD RIVERDALE","ROYAL BLUE","WHITE",NA,112,"Blanchard Valley Conference","FALCONS","(AA)",-83.5184008,40.8666805
"1310","RIVERSIDE","2096 County Road 24 S","DE GRAFF","43318-9406","2096 County Road 24 S, DE GRAFF, OH 43318-9406","PUBLIC","Logan","Southwest","DEGRAFF RIVERSIDE","RED","ROYAL BLUE",NA,103,"Northwest Central Conference","PIRATES","(A)",-83.9233101,40.3156803
"1312","RIVERSIDE","585 Riverside Drive","Painesville","44077-5323","585 Riverside Drive, Painesville, OH 44077-5323","PUBLIC","Lake","Northeast","PAINESVILLE RIVERSIDE","BLACK","GOLD",NA,549,"","BEAVERS","(AAA)",-81.2184617,41.7130514
"1314","RIVER VALLEY","4280 MARION-MT GILEAD RD","CALEDONIA","43314-9456","4280 MARION-MT GILEAD RD, CALEDONIA, OH 43314-9456","PUBLIC","Marion","Central","CALEDONIA RIVER VALLEY","BLUE","GOLD",NA,242,"Mid-Ohio Athletic Conference","VIKINGS","(AA)",-83.0137618,40.5847191
"1316","RIVER VIEW","26496 STATE ROUTE 60 N","WARSAW","43844-9714","26496 STATE ROUTE 60 N, WARSAW, OH 43844-9714","PUBLIC","Coshocton","East","WARSAW RIVER VIEW","OLD GOLD","BLACK",NA,260,"East Central Ohio League","BLACK BEARS","(AAA)",-81.956301,40.339594
"1318","ROCK HILL","2415 COUNTY ROAD 26","IRONTON","45638-9803","2415 COUNTY ROAD 26, IRONTON, OH 45638-9803","PUBLIC","Lawrence","Southeast","IRONTON ROCK HILL","RED","WHITE",NA,185,"","REDMEN","(AA)",-82.6575582,38.6121059
"132","ARCHBISHOP ALTER","940 E DAVID RD","KETTERING","45429-5512","940 E DAVID RD, KETTERING, OH 45429-5512","PRIVATE","Montgomery","Southwest","KETTERING ARCHBISHOP ALTER","BROWN","GOLD",NA,228,"Greater Catholic League Co-Ed Division","KNIGHTS","(AA)",-84.1518258,39.6801396
"1320","ROCKY RIVER","20951 DETROIT RD","ROCKY RIVER","44116-2431","20951 DETROIT RD, ROCKY RIVER, OH 44116-2431","PUBLIC","Cuyahoga","Northeast","ROCKY RIVER","MAROON","WHITE",NA,300,"","PIRATES","(AA)",-81.8514078,41.472819
"1322","ROGER BACON","4320 VINE ST","ST BERNARD","45217-1542","4320 VINE ST, ST BERNARD, OH 45217-1542","PRIVATE","Hamilton","Southwest","ST. BERNARD ROGER BACON","BROWN","WHITE",NA,170,"Greater Catholic League Co-Ed Division","SPARTANS","(AA)",-84.5023214,39.1629111
"1324","ROGERS","222 MC TIGUE DR","TOLEDO","43615-5164","222 MC TIGUE DR, TOLEDO, OH 43615-5164","PUBLIC","Lucas","Northwest","TOL. ROGERS","RED","WHITE","Black",352,"Toledo City Athletic League","RAMS","(AAA)",-83.6744754,41.6413403
"1326","THEODORE ROOSEVELT","1400 N MANTUA ST","KENT","44240-2334","1400 N MANTUA ST, KENT, OH 44240-2334","PUBLIC","Portage","Northeast","KENT ROOSEVELT","RED","BLACK","WHITE",407,"Suburban League","ROUGH RIDERS","(AAA)",-81.356508,41.168118
"1328","ROOTSTOWN","4190 STATE ROUTE 44","ROOTSTOWN","44272-9697","4190 STATE ROUTE 44, ROOTSTOWN, OH 44272-9697","PUBLIC","Portage","Northeast","ROOTSTOWN","NAVY BLUE","WHITE",NA,139,"Portage Trail Conference","ROVERS","(A)",-81.2412277,41.1024163
"1330","ROSS","3601 HAMILTON-CLEVES RD","HAMILTON","45013-9505","3601 HAMILTON-CLEVES RD, HAMILTON, OH 45013-9505","PUBLIC","Butler","Southwest","HAMILTON ROSS","MAROON","GOLD",NA,336,"Southwest Ohio Conference","RAMS","(AAA)",-84.6350891,39.3300122
"1332","ROSSFORD","701 Superior St","Rossford","43460","701 Superior St, Rossford, OH 43460","PUBLIC","Wood","Northwest","ROSSFORD","MAROON","GRAY",NA,187,"","BULLDOGS","(AA)",-83.5588963,41.60897
"134","ARCHBOLD","600 LAFAYETTE ST","ARCHBOLD","43502-1656","600 LAFAYETTE ST, ARCHBOLD, OH 43502-1656","PUBLIC","Fulton","Northwest","ARCHBOLD","NAVY","GOLD",NA,171,"Northwest Ohio Athletic League","BLUE STREAKS","(AA)",-84.313563,41.516075
"1340","ST BERNARD-ELMWOOD PLACE","4615 TOWER AVENUE","ST BERNARD","45217-1724","4615 TOWER AVENUE, ST BERNARD, OH 45217-1724","PUBLIC","Hamilton","Southwest","ST. BERNARD-ELMWOOD PLACE","BLACK","GOLD",NA,117,"Miami Valley Conference","TITANS","(A)",-84.4964125,39.1662714
"1342","ST CHARLES","2010 E BROAD ST","COLUMBUS","43209-1665","2010 E BROAD ST, COLUMBUS, OH 43209-1665","PRIVATE","Franklin","Central","COLS. ST. CHARLES","RED","WHITE",NA,490,"Central Catholic League","CARDINALS","(AAA)",-82.9473365,39.9693071
"1344","ST CLAIRSVILLE","102 WOODROW AVE","ST CLAIRSVILLE","43950-1524","102 WOODROW AVE, ST CLAIRSVILLE, OH 43950-1524","PUBLIC","Belmont","East","ST. CLAIRSVILLE","SCARLET","GRAY",NA,232,"Ohio Valley Athletic Conference","RED DEVILS","(AAA)",-80.8967912,40.0796653
"1346","ST EDWARD","13500 DETROIT AVE","LAKEWOOD","44107-4602","13500 DETROIT AVE, LAKEWOOD, OH 44107-4602","PRIVATE","Cuyahoga","Northeast","LAKEWOOD ST. EDWARD","GREEN","GOLD",NA,727,"INDEPENDENT","EAGLES","(AAA)",-81.784764,41.486028
"1348","ST FRANCIS DE SALES","4212 KARL RD","COLUMBUS","43224-2056","4212 KARL RD, COLUMBUS, OH 43224-2056","PRIVATE","Franklin","Central","COLS. ST. FRANCIS DESALES","PURPLE","WHITE",NA,261,"Central Catholic League","STALLIONS","(AA)",-82.9747531,40.0524614
"1350","ST FRANCIS DE SALES","2323 W BANCROFT ST","TOLEDO","43607-1306","2323 W BANCROFT ST, TOLEDO, OH 43607-1306","PRIVATE","Lucas","Northwest","TOL. ST. FRANCIS DESALES","RED","BLUE",NA,383,"Three Rivers Athletic Conference","Knights","(AAA)",-83.5990276,41.6629863
"1352","ST HENRY","391 E COLUMBUS STREET","ST HENRY","45883-9574","391 E COLUMBUS STREET, ST HENRY, OH 45883-9574","PUBLIC","Mercer","Northwest","ST. HENRY","RED","WHITE",NA,122,"Tri-Valley Conference","REDSKINS","(AA)",-84.6347503,40.4163863
"1354","ST IGNATIUS","1911 W 30TH ST","CLEVELAND","44113-3401","1911 W 30TH ST, CLEVELAND, OH 44113-3401","PRIVATE","Cuyahoga","Northeast","CLE. ST. IGNATIUS","BLUE","GOLD",NA,1116,"INDEPENDENT","WILDCATS","(AAA)",-81.7068612,41.4829946
"1358","ST JOHN'S","515 E SECOND ST","DELPHOS","45833-1708","515 E SECOND ST, DELPHOS, OH 45833-1708","PRIVATE","Allen","Northwest","DELPHOS ST. JOHN'S","ROYAL BLUE","GOLD",NA,81,"Midwest Athletic Conference","BLUE JAYS","(A)",-84.3342378,40.8432406
"1359","ST JOHN SCHOOL","7911 DEPOT ROAD","ASHTABULA","44004","7911 DEPOT ROAD, ASHTABULA, OH 44004","PRIVATE","Ashtabula","Northeast","ASHTABULA ST. JOHN SCHOOL","BLUE","WHITE",NA,48,"Northwest Central Conference","HERALDS","(A)",-80.8717848,41.8259908
"136","ARLINGTON","336 S. Main St.","Arlington","45814-0260","336 S. Main St., Arlington, OH 45814-0260","PUBLIC","Hancock","Northwest","ARLINGTON","RED","BLACK",NA,71,"Blanchard Valley Conference","RED DEVILS","(A)",-83.6522985,40.889062
"1360","ST JOHN'S JESUIT","5901 AIRPORT HWY","TOLEDO","43615-7344","5901 AIRPORT HWY, TOLEDO, OH 43615-7344","PRIVATE","Lucas","Northwest","TOL. ST. JOHN'S","BLUE","GOLD",NA,438,"","TITANS","(AAA)",-83.6822941,41.612869
"1362","ST JOHN CENTRAL","3625 GUERNSEY STREET","BELLAIRE","43906-1235","3625 GUERNSEY STREET, BELLAIRE, OH 43906-1235","PRIVATE","Belmont","East","BELLAIRE ST. JOHN CENTRAL","GREEN","WHITE","GRAY",10,"Ohio Valley Athletic Conference","FIGHTING IRISH","(A)",-80.7425031,40.0190536
"1364","VILLA ANGELA-ST JOSEPH","18491 LAKESHORE BLVD.","CLEVELAND","44119-9950","18491 LAKESHORE BLVD., CLEVELAND, OH 44119-9950","PRIVATE","Cuyahoga","Northeast","CLE. VILLA ANGELA-ST. JOSEPH","COLUMBIA BLUE","RED",NA,149,"","VIKINGS","(A)",-81.5505173,41.5958654
"1370","ST JOSEPH CENTRAL CATHOLIC","702 CROGHAN ST","FREMONT","43420-2417","702 CROGHAN ST, FREMONT, OH 43420-2417","PRIVATE","Sandusky","Northwest","FREMONT ST. JOSEPH CENTRAL CATH.","CRIMSON","GRAY",NA,54,"Sandusky Bay Conference","CRIMSON STREAKS","(A)",-83.1189066,41.346913
"1372","ST MARY CENTRAL CATHOLIC","410 W JEFFERSON ST","SANDUSKY","44870-2427","410 W JEFFERSON ST, SANDUSKY, OH 44870-2427","PRIVATE","Erie","Northwest","SANDUSKY ST. MARY CENTRAL CATH.","NAVY","VEGAS GOLD",NA,61,"Sandusky Bay Conference","PANTHERS","(A)",-82.711434,41.4515979
"1374","ST PAUL","93 E MAIN ST","NORWALK","44857-1715","93 E MAIN ST, NORWALK, OH 44857-1715","PRIVATE","Huron","Northwest","NORWALK ST. PAUL","RED","BLACK","WHITE",67,"Firelands Conference","FLYERS","(A)",-82.6116206,41.245054
"1378","ST THOMAS AQUINAS","2121 RENO DR NE","LOUISVILLE","44641-9036","2121 RENO DR NE, LOUISVILLE, OH 44641-9036","PRIVATE","Stark","Northeast","LOUISVILLE ST. THOMAS AQUINAS","BLACK","GOLD",NA,62,"North Coast League","KNIGHTS","(A)",-81.2799544,40.8532377
"138","ASHLAND","1440 KING RD","ASHLAND","44805-3635","1440 KING RD, ASHLAND, OH 44805-3635","PUBLIC","Ashland","Northwest","ASHLAND","ORANGE","BLACK",NA,408,"","ARROWS","(AAA)",-82.3253498,40.8545356
"1384","ST VINCENT-ST MARY","15 N MAPLE ST","AKRON","44303-2326","15 N MAPLE ST, AKRON, OH 44303-2326","PRIVATE","Summit","Northeast","AKRON ST. VINCENT-ST MARY","GREEN","GOLD",NA,251,"Northwest Central Conference","FIGHTING IRISH","(AA)",-81.5226234,41.0884676
"1386","ST WENDELIN","533 N COUNTYLINE ST","FOSTORIA","44830-1503","533 N COUNTYLINE ST, FOSTORIA, OH 44830-1503","PRIVATE","Hancock","Northwest","FOSTORIA ST. WENDELIN","BLACK","GOLD",NA,32,"","MOHAWKS","(A)",-83.4214485,41.1630664
"1388","ST XAVIER","600 W NORTH BEND RD","CINCINNATI","45224-1499","600 W NORTH BEND RD, CINCINNATI, OH 45224-1499","PRIVATE","Hamilton","Southwest","CIN. ST. XAVIER","BLUE","WHITE",NA,1178,"Greater Catholic League","BOMBERS","(AAA)",-84.4947557,39.2041788
